"Indikatorens navn";"Fylke nummer";"Fylke navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"34";"Innlandet";"Kalkbarskog";"2018-2024";2.8;"Yellow"
"ENCREC_005";"34";"Innlandet";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0.09;"Yellow"
"ENCREC_005";"34";"Innlandet";"Lågurtfuruskog";"2018-2024";4.3;"Yellow"
"ENCREC_005";"34";"Innlandet";"Mudderbank";"2018-2024";0.08;"Orange"
"ENCREC_005";"34";"Innlandet";"Naturbeitemark";"2018-2024";1.49;"Yellow"
"ENCREC_005";"34";"Innlandet";"Rik kulturlandskapssjø";"2018-2024";0.62;"Yellow"
"ENCREC_005";"34";"Innlandet";"Rik sandfuruskog";"2018-2024";0.04;"Yellow"
"ENCREC_005";"34";"Innlandet";"Rikmyr";"2018-2024";1.41;"Yellow"
"ENCREC_005";"34";"Innlandet";"Sandfuruskog";"2018-2024";0.23;"Yellow"
"ENCREC_005";"34";"Innlandet";"Semi-naturlig eng";"2018-2024";0.72;"Yellow"
"ENCREC_005";"34";"Innlandet";"Slåttemark";"2018-2024";0.28;"Yellow"
"ENCREC_005";"34";"Innlandet";"Viktig bekkedrag";"2018-2024";0.28;"Orange"
"ENCREC_005";"34";"Innlandet";"Åpen flommark";"2018-2024";0.04;"Yellow"
"ENCREC_005";"39";"Vestfold";"Dam";"2018-2024";0.05;"Orange"
"ENCREC_005";"39";"Vestfold";"Flomskogsmark";"2018-2024";0.15;"Yellow"
"ENCREC_005";"39";"Vestfold";"Frisk lågurtbøkeskog";"2018-2024";0.92;"Yellow"
"ENCREC_005";"39";"Vestfold";"Frisk lågurtedellauvskog";"2018-2024";8.77;"Yellow"
"ENCREC_005";"39";"Vestfold";"Frisk lågurtfuruskog";"2018-2024";0.16;"Yellow"
"ENCREC_005";"39";"Vestfold";"Frisk rik edellauvskog";"2018-2024";3.88;"Yellow"
"ENCREC_005";"39";"Vestfold";"Gammel fattig edellauvskog";"2018-2024";8.37;"Yellow"
"ENCREC_005";"39";"Vestfold";"Gammel furuskog med gamle trær";"2018-2024";0.01;"Yellow"
"ENCREC_005";"39";"Vestfold";"Gammel furuskog med stående død ved";"2018-2024";0.17;"Yellow"
"ENCREC_005";"39";"Vestfold";"Gammel høgstaudegråorskog";"2018-2024";0.13;"Yellow"
"ENCREC_005";"39";"Vestfold";"Gammel lågurtospeskog";"2018-2024";0.54;"Yellow"
"ENCREC_005";"39";"Vestfold";"Hagemark";"2018-2024";5.35;"Yellow"
"ENCREC_005";"39";"Vestfold";"Hule eiker";"2018-2024";13.3;"Yellow"
"ENCREC_005";"39";"Vestfold";"Kilde-edellauvskog";"2018-2024";1.35;"Yellow"
"ENCREC_005";"39";"Vestfold";"Lågurtalm-lind-hasselskog";"2018-2024";0.06;"Yellow"
"ENCREC_005";"39";"Vestfold";"Lågurtbøkeskog";"2018-2024";3.92;"Yellow"
"ENCREC_005";"39";"Vestfold";"Lågurtedellauvskog";"2018-2024";1.75;"Yellow"
"ENCREC_005";"39";"Vestfold";"Lågurteikeskog";"2018-2024";4.27;"Yellow"
"ENCREC_005";"39";"Vestfold";"Lågurtfuruskog";"2018-2024";2.12;"Yellow"
"ENCREC_005";"39";"Vestfold";"Naturbeitemark";"2018-2024";2.24;"Yellow"
"ENCREC_005";"39";"Vestfold";"Rik svartorsumpskog";"2018-2024";0.7;"Yellow"
"ENCREC_005";"39";"Vestfold";"Saltpåvirket svartorstrandskog";"2018-2024";0.69;"Yellow"
"ENCREC_005";"39";"Vestfold";"Semi-naturlig eng";"2018-2024";0.75;"Yellow"
"ENCREC_005";"39";"Vestfold";"Semi-naturlig strandeng";"2018-2024";0.08;"Yellow"
"ENCREC_005";"39";"Vestfold";"Slåttemark";"2018-2024";1.91;"Yellow"
"ENCREC_005";"39";"Vestfold";"Store gamle trær";"2018-2024";0.16;"Yellow"
"ENCREC_005";"39";"Vestfold";"Strandeng";"2018-2024";0.03;"Yellow"
"ENCREC_005";"39";"Vestfold";"Viktig bekkedrag";"2018-2024";2.04;"Yellow"
