"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCACC_001";"11";"1133";"Hjelmeland";"2021";199.76;558.49;"Yellow";"Yellow"
"ENCACC_001";"11";"1133";"Hjelmeland";"2022";173.13;731.62;"Yellow";"Yellow"
"ENCACC_001";"11";"1133";"Hjelmeland";"2023";151.64;883.26;"Green";"Yellow"
"ENCACC_001";"11";"1133";"Hjelmeland";"2024";121.12;1004.38;"Yellow";"Yellow"
"ENCACC_001";"11";"1133";"Hjelmeland";"Endring 2018-2024";NA;952.46;"NA";"Yellow"
"ENCACC_001";"11";"1134";"Suldal";"2018";35.39;35.39;"Yellow";"Yellow"
"ENCACC_001";"11";"1134";"Suldal";"2019";157.93;193.32;"Yellow";"Yellow"
"ENCACC_001";"11";"1134";"Suldal";"2020";97.46;290.78;"Yellow";"Yellow"
"ENCACC_001";"11";"1134";"Suldal";"2021";166.45;457.23;"Yellow";"Yellow"
"ENCACC_001";"11";"1134";"Suldal";"2022";162.83;620.06;"Yellow";"Yellow"
"ENCACC_001";"11";"1134";"Suldal";"2023";125.97;746.03;"Green";"Yellow"
"ENCACC_001";"11";"1134";"Suldal";"2024";38.54;784.57;"Yellow";"Yellow"
"ENCACC_001";"11";"1134";"Suldal";"Endring 2018-2024";NA;749.18;"NA";"Yellow"
"ENCACC_001";"11";"1135";"Sauda";"2018";87.44;87.44;"Yellow";"Yellow"
"ENCACC_001";"11";"1135";"Sauda";"2019";85.93;173.37;"Yellow";"Yellow"
"ENCACC_001";"11";"1135";"Sauda";"2020";93.87;267.24;"Yellow";"Yellow"
"ENCACC_001";"11";"1135";"Sauda";"2021";41.82;309.06;"Yellow";"Yellow"
"ENCACC_001";"11";"1135";"Sauda";"2022";48.35;357.41;"Yellow";"Yellow"
"ENCACC_001";"11";"1135";"Sauda";"2023";61.97;419.38;"Green";"Yellow"
"ENCACC_001";"11";"1135";"Sauda";"2024";39.6;458.98;"Yellow";"Yellow"
"ENCACC_001";"11";"1135";"Sauda";"Endring 2018-2024";NA;371.54;"NA";"Yellow"
"ENCACC_001";"11";"1144";"Kvitsøy";"2018";0;0;"Yellow";"Yellow"
"ENCACC_001";"11";"1144";"Kvitsøy";"2019";2.68;2.68;"Yellow";"Yellow"
