"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"31";"3105";"Sarpsborg";"Semi-naturlig eng";"2018-2024";0.01;"Yellow"
"ENCREC_005";"31";"3105";"Sarpsborg";"Store gamle trær";"2018-2024";0.07;"Yellow"
"ENCREC_005";"31";"3107";"Fredrikstad";"Gammel furudominert naturskog";"2018-2024";6.19;"Yellow"
"ENCREC_005";"31";"3107";"Fredrikstad";"Gammel furuskog med gamle trær";"2018-2024";6.86;"Yellow"
"ENCREC_005";"31";"3107";"Fredrikstad";"Hule eiker";"2018-2024";0.4;"Yellow"
"ENCREC_005";"31";"3110";"Hvaler";"Hule eiker";"2018-2024";0.49;"Yellow"
"ENCREC_005";"31";"3110";"Hvaler";"Kystlynghei";"2018-2024";5.67;"Yellow"
"ENCREC_005";"31";"3110";"Hvaler";"Lågurteikeskog";"2018-2024";0.07;"Yellow"
"ENCREC_005";"31";"3110";"Hvaler";"Naturbeitemark";"2018-2024";0.65;"Yellow"
"ENCREC_005";"31";"3112";"Råde";"Frisk lågurtedellauvskog";"2018-2024";0;"Yellow"
"ENCREC_005";"31";"3112";"Råde";"Hule eiker";"2018-2024";0.79;"Yellow"
"ENCREC_005";"31";"3112";"Råde";"Lågurtfuruskog";"2018-2024";0.01;"Yellow"
"ENCREC_005";"31";"3118";"Indre Østfold";"Rik kulturlandskapssjø";"2018-2024";0.13;"Orange"
"ENCREC_005";"31";"3120";"Rakkestad";"Intakt lavlandsmyr i innlandet";"2018-2024";0.34;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Flomskogsmark";"2018-2024";0.08;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Frisk lågurtedellauvskog";"2018-2024";0.44;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Frisk rik edellauvskog";"2018-2024";0.86;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Gammel lågurtgranskog";"2018-2024";0.47;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Hule eiker";"2018-2024";1.03;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Kalkhasselskog";"2018-2024";0.09;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Kalkrik alm-lind-hasselskog";"2018-2024";0.72;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Lågurtfuruskog";"2018-2024";0.8;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Rik edellauvskog";"2018-2024";11.91;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Slåttemark";"2018-2024";1.26;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Store gamle trær";"2018-2024";0.49;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Svært tørkeutsatt sørlig kalkberg";"2018-2024";0.3;"Yellow"
"ENCREC_005";"32";"3201";"Bærum";"Åpen grunnlendt kalkmark i boreonemoral sone";"2018-2024";0.02;"Yellow"
"ENCREC_005";"32";"3203";"Asker";"Frisk kalkedellauvskog";"2018-2024";3.66;"Yellow"
"ENCREC_005";"32";"3203";"Asker";"Gammel furuskog med gamle trær";"2018-2024";1.06;"Yellow"
"ENCREC_005";"32";"3203";"Asker";"Hule eiker";"2018-2024";0.19;"Yellow"
"ENCREC_005";"32";"3203";"Asker";"Høgstaude-edellauvskog";"2018-2024";0.09;"Yellow"
"ENCREC_005";"32";"3203";"Asker";"Kalkedellauvskog";"2018-2024";0.04;"Yellow"
"ENCREC_005";"32";"3203";"Asker";"Kalkfuruskog";"2018-2024";0.5;"Yellow"
"ENCREC_005";"32";"3203";"Asker";"Kalklindeskog";"2018-2024";0.18;"Yellow"
"ENCREC_005";"32";"3203";"Asker";"Kalksjø";"2018-2024";0.07;"Yellow"
"ENCREC_005";"32";"3203";"Asker";"Lågurtfuruskog";"2018-2024";0.26;"Yellow"
"ENCREC_005";"32";"3203";"Asker";"Saltpåvirket svartorstrandskog";"2018-2024";0.02;"Yellow"
"ENCREC_005";"32";"3203";"Asker";"Slåttemark";"2018-2024";0.39;"Yellow"
"ENCREC_005";"32";"3203";"Asker";"Viktig bekkedrag";"2018-2024";0.01;"Yellow"
"ENCREC_005";"32";"3205";"Lillestrøm";"Gammel furuskog med gamle trær";"2018-2024";0.02;"Yellow"
"ENCREC_005";"32";"3205";"Lillestrøm";"Gammel granskog med gamle trær";"2018-2024";0.06;"Yellow"
"ENCREC_005";"32";"3205";"Lillestrøm";"Gammel lågurtgranskog";"2018-2024";1.44;"Yellow"
"ENCREC_005";"32";"3205";"Lillestrøm";"Hule eiker";"2018-2024";0;"Yellow"
"ENCREC_005";"32";"3205";"Lillestrøm";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0;"Yellow"
