"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2023";15737526.32;15735120.91;"Orange";"Orange"
"ENCREC_003";"18";"Nordland - Nordlánnda";"2024";15737726.28;15734923.08;"Orange";"Orange"
"ENCREC_003";"18";"Nordland - Nordlánnda";"Endring 2018-2024";NA;-2886.55999999866;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2018";1276458.32;1276458.32;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2019";1276393.28;1276194.82;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2020";1276116.7;1275654.74;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2021";1276252.35;1275250.31;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2022";1276178.17;1274771.7;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2023";1276417;1274531.92;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"2024";1276584.97;1274460.11;"Yellow";"Yellow"
"ENCREC_003";"31";"Østfold";"Endring 2018-2024";NA;-1998.20999999996;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2018";2400132.81;2400132.81;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2019";2399820.28;2399241.97;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2020";2399569.14;2398099.99;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2021";2399178.49;2396567.36;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2022";2399832.2;2395688.44;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2023";2399868.57;2394845.89;"Yellow";"Yellow"
"ENCREC_003";"32";"Akershus";"2024";2400390.89;2394525.66;"Orange";"Yellow"
"ENCREC_003";"32";"Akershus";"Endring 2018-2024";NA;-5607.14999999991;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2018";7900539.44;7900539.44;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2019";7900150.93;7899012.88;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2020";7899107.13;7896442.52;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2021";7897186.09;7891951.12;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2022";7898583.93;7888857.56;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2023";7900002.4;7887182.47;"Yellow";"Yellow"
"ENCREC_003";"33";"Buskerud";"2024";7900062.41;7885567.39;"Orange";"Yellow"
"ENCREC_003";"33";"Buskerud";"Endring 2018-2024";NA;-14972.0499999998;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2018";16119772.87;16119772.87;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2019";16119316.9;16118250.3;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2020";16118956.34;16116367.17;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2021";16117711.66;16113239.36;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2022";16118527.05;16110926.94;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2023";16118800.96;16108888.43;"Yellow";"Yellow"
"ENCREC_003";"34";"Innlandet";"2024";16119564.69;16107613.65;"Orange";"Yellow"
"ENCREC_003";"34";"Innlandet";"Endring 2018-2024";NA;-12159.2200000007;"Yellow";"Yellow"
"ENCREC_003";"39";"Vestfold";"2018";922956.01;922956.01;"Yellow";"Yellow"
"ENCREC_003";"39";"Vestfold";"2019";922884.6;922614.09;"Yellow";"Yellow"
"ENCREC_003";"39";"Vestfold";"2020";922605.7;921993.27;"Yellow";"Yellow"
"ENCREC_003";"39";"Vestfold";"2021";922424.61;921191.36;"Yellow";"Yellow"
"ENCREC_003";"39";"Vestfold";"2022";922589.21;920554.05;"Yellow";"Yellow"
"ENCREC_003";"39";"Vestfold";"2023";922706.93;920034.46;"Yellow";"Yellow"
"ENCREC_003";"39";"Vestfold";"2024";923043.1;919851.04;"Yellow";"Yellow"
"ENCREC_003";"39";"Vestfold";"Endring 2018-2024";NA;-3104.96999999997;"Yellow";"Yellow"
"ENCREC_003";"40";"Telemark";"2018";1443680.19;1443680.19;"Yellow";"Yellow"
"ENCREC_003";"40";"Telemark";"2019";1443651.15;1443473.15;"Yellow";"Yellow"
"ENCREC_003";"40";"Telemark";"2020";1443460.87;1443075.83;"Yellow";"Yellow"
"ENCREC_003";"40";"Telemark";"2021";1443551.88;1442769.52;"Yellow";"Yellow"
"ENCREC_003";"40";"Telemark";"2022";1443535.08;1442446.41;"Yellow";"Yellow"
"ENCREC_003";"40";"Telemark";"2023";1443565.28;1442153.5;"Green";"Yellow"
"ENCREC_003";"40";"Telemark";"2024";1442990.66;1441285.97;"Yellow";"Yellow"
"ENCREC_003";"40";"Telemark";"Endring 2018-2024";NA;-2394.21999999997;"Yellow";"Yellow"
"ENCREC_003";"42";"Agder";"2018";1264023.66;1264023.66;"Yellow";"Yellow"
"ENCREC_003";"42";"Agder";"2019";1263845.18;1263532.22;"Yellow";"Yellow"
"ENCREC_003";"42";"Agder";"2020";1263616.54;1262812.14;"Yellow";"Yellow"
"ENCREC_003";"42";"Agder";"2021";1263780.34;1262255.86;"Yellow";"Yellow"
"ENCREC_003";"42";"Agder";"2022";1263613.27;1261532.51;"Yellow";"Yellow"
"ENCREC_003";"42";"Agder";"2023";1263973.62;1261169.51;"Yellow";"Yellow"
"ENCREC_003";"42";"Agder";"2024";1264097.12;1260930.01;"Orange";"Yellow"
"ENCREC_003";"42";"Agder";"Endring 2018-2024";NA;-3093.65000000014;"Yellow";"Yellow"
"ENCREC_003";"46";"Vestland";"2018";18076872.97;18076872.97;"Yellow";"Yellow"
"ENCREC_003";"46";"Vestland";"2019";18076605.4;18076186.95;"Yellow";"Yellow"
"ENCREC_003";"46";"Vestland";"2020";18076113.32;18075008.85;"Yellow";"Yellow"
"ENCREC_003";"46";"Vestland";"2021";18075898.9;18073616.33;"Yellow";"Yellow"
"ENCREC_003";"46";"Vestland";"2022";18075915.53;18072240.44;"Yellow";"Yellow"
"ENCREC_003";"46";"Vestland";"2023";18076338.46;18071287.48;"Yellow";"Yellow"
"ENCREC_003";"46";"Vestland";"2024";18075317.46;18069313.52;"Yellow";"Yellow"
"ENCREC_003";"46";"Vestland";"Endring 2018-2024";NA;-7559.44999999925;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2018";21362681.37;21362681.37;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2019";21362204.17;21361560.6;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2020";21362127.11;21360362.77;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2021";21361923.37;21358961.2;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2022";21362042.09;21357678.35;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2023";21361974.53;21356327.94;"Yellow";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"2024";21362799.45;21355802.45;"Orange";"Yellow"
"ENCREC_003";"50";"Trøndelag - Trööndelage";"Endring 2018-2024";NA;-6878.91999999806;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2018";11594947.84;11594947.84;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2019";11594882.48;11594812.29;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2020";11594774.49;11594568.75;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2021";11594773.81;11594324.53;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2022";11594692.33;11593998.83;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2023";11594598.67;11593579.47;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"2024";11594412.65;11592974.09;"Yellow";"Yellow"
"ENCREC_003";"55";"Troms – Romsa – Tromssa";"Endring 2018-2024";NA;-1973.75;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2018";8944646.92;8944646.92;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2019";8944587.08;8944553.52;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2020";8944555.08;8944428.12;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2021";8944458.92;8944206.56;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2022";8944544.43;8944070.51;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2023";8944546.56;8943936.59;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"2024";8944633.55;8943889.66;"Yellow";"Yellow"
"ENCREC_003";"56";"Finnmark – Finnmárku – Finmarkku";"Endring 2018-2024";NA;-757.259999999776;"Yellow";"Yellow"
