"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Verdsatte naturtype";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCACC_002";"11";"1160";"Vindafjord";"Intakt lavlandsmyr i innlandet";"2018-2024";3.7;"Yellow"
"ENCACC_002";"11";"1160";"Vindafjord";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";1.02;"Yellow"
"ENCACC_002";"11";"1160";"Vindafjord";"Naturbeitemark";"2018-2024";0.34;"Yellow"
"ENCACC_002";"11";"1160";"Vindafjord";"Rik edellauvskog";"2018-2024";0;"Yellow"
"ENCACC_002";"11";"1160";"Vindafjord";"Sørlig nedbørsmyr";"2018-2024";0.01;"Yellow"
"ENCACC_002";"15";"1505";"Kristiansund";"Kystlynghei";"2018-2024";10.45;"Yellow"
"ENCACC_002";"15";"1505";"Kristiansund";"Semi-naturlig eng";"2018-2024";0.55;"Yellow"
"ENCACC_002";"15";"1505";"Kristiansund";"Semi-naturlig strandeng";"2018-2024";0.01;"Yellow"
"ENCACC_002";"15";"1505";"Kristiansund";"Sørlig nedbørsmyr";"2018-2024";9.22;"Yellow"
"ENCACC_002";"15";"1506";"Molde";"Høstingsskog";"2018-2024";7.41;"Yellow"
"ENCACC_002";"15";"1506";"Molde";"Kystlynghei";"2018-2024";1.59;"Yellow"
"ENCACC_002";"15";"1506";"Molde";"Slåttemark";"2018-2024";5.39;"Yellow"
"ENCACC_002";"15";"1506";"Molde";"Ultrabasisk og tungmetallrik mark i lavlandet";"2018-2024";1.06;"Yellow"
"ENCACC_002";"15";"1506";"Molde";"Ur og rasmark";"2018-2024";0.96;"Yellow"
"ENCACC_002";"15";"1508";"Ålesund";"Frisk lågurtedellauvskog";"2018-2024";0;"Yellow"
"ENCACC_002";"15";"1508";"Ålesund";"Gammel barskog";"2018-2024";1.25;"Yellow"
"ENCACC_002";"15";"1508";"Ålesund";"Kystlynghei";"2018-2024";2.15;"Yellow"
"ENCACC_002";"15";"1508";"Ålesund";"Lågurtalm-lind-hasselskog";"2018-2024";0;"Yellow"
"ENCACC_002";"15";"1508";"Ålesund";"Lågurtedellauvskog";"2018-2024";0.11;"Yellow"
"ENCACC_002";"15";"1508";"Ålesund";"Naturbeitemark";"2018-2024";1.56;"Yellow"
"ENCACC_002";"15";"1508";"Ålesund";"Rikmyr";"2018-2024";7.8;"Orange"
"ENCACC_002";"15";"1508";"Ålesund";"Slåttemark";"2018-2024";0.04;"Yellow"
"ENCACC_002";"15";"1508";"Ålesund";"Terrengdekkende myr";"2018-2024";0;"Yellow"
"ENCACC_002";"15";"1508";"Ålesund";"Viktig bekkedrag";"2018-2024";0.12;"Yellow"
"ENCACC_002";"15";"1511";"Vanylven";"Kystlynghei";"2018-2024";199.92;"Orange"
"ENCACC_002";"15";"1511";"Vanylven";"Naturbeitemark";"2018-2024";1.3;"Yellow"
"ENCACC_002";"15";"1511";"Vanylven";"Sanddynemark";"2018-2024";0.21;"Yellow"
"ENCACC_002";"15";"1515";"Herøy (Møre og Romsdal)";"Kystlynghei";"2018-2024";5.06;"Yellow"
"ENCACC_002";"15";"1515";"Herøy (Møre og Romsdal)";"Naturbeitemark";"2018-2024";6.74;"Yellow"
"ENCACC_002";"15";"1515";"Herøy (Møre og Romsdal)";"Sørlig nedbørsmyr";"2018-2024";0.4;"Yellow"
"ENCACC_002";"15";"1516";"Ulstein";"Kystlynghei";"2018-2024";1.12;"Yellow"
"ENCACC_002";"15";"1528";"Sykkylven";"Boreal hei";"2018-2024";11.71;"Yellow"
"ENCACC_002";"15";"1528";"Sykkylven";"Naturbeitemark";"2018-2024";6.74;"Yellow"
