"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2018";48.24;48.24;"Yellow";"Yellow"
"ENCREC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2019";212.14;260.38;"Yellow";"Yellow"
"ENCREC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2020";185.64;446.02;"Yellow";"Yellow"
"ENCREC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2021";266.31;712.33;"Yellow";"Yellow"
"ENCREC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2022";263.39;975.72;"Yellow";"Yellow"
"ENCREC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2023";284.11;1259.83;"Yellow";"Yellow"
"ENCREC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2024";74.57;1334.4;"Yellow";"Yellow"
"ENCREC_001";"56";"Finnmark – Finnmárku – Finmarkku";"Endring 2018-2024";NA;1286.16;"NA";"Yellow"
"ENCREC_002";"03";"Oslo";"2018";103.98;103.98;"Yellow";"Yellow"
"ENCREC_002";"03";"Oslo";"2019";77.5;181.48;"Yellow";"Yellow"
"ENCREC_002";"03";"Oslo";"2020";93.68;275.16;"Yellow";"Yellow"
"ENCREC_002";"03";"Oslo";"2021";155.6;430.76;"Yellow";"Yellow"
"ENCREC_002";"03";"Oslo";"2022";118.18;548.94;"Yellow";"Yellow"
"ENCREC_002";"03";"Oslo";"2023";118.21;667.15;"Yellow";"Yellow"
"ENCREC_002";"03";"Oslo";"2024";61.42;728.57;"Yellow";"Yellow"
"ENCREC_002";"03";"Oslo";"Endring 2018-2024";NA;624.59;"NA";"Yellow"
"ENCREC_002";"11";"Rogaland";"2018";458.86;458.86;"Yellow";"Yellow"
"ENCREC_002";"11";"Rogaland";"2019";533.97;992.83;"Yellow";"Yellow"
"ENCREC_002";"11";"Rogaland";"2020";1567.42;2560.25;"Yellow";"Yellow"
"ENCREC_002";"11";"Rogaland";"2021";839.77;3400.02;"Yellow";"Yellow"
"ENCREC_002";"11";"Rogaland";"2022";569.44;3969.46;"Yellow";"Yellow"
"ENCREC_002";"11";"Rogaland";"2023";580.25;4549.71;"Green";"Yellow"
"ENCREC_002";"11";"Rogaland";"2024";484.18;5033.89;"Yellow";"Yellow"
"ENCREC_002";"11";"Rogaland";"Endring 2018-2024";NA;4575.03;"NA";"Yellow"
"ENCREC_002";"15";"Møre og Romsdal";"2018";111.95;111.95;"Yellow";"Yellow"
"ENCREC_002";"15";"Møre og Romsdal";"2019";221.42;333.37;"Yellow";"Yellow"
"ENCREC_002";"15";"Møre og Romsdal";"2020";308.67;642.04;"Yellow";"Yellow"
"ENCREC_002";"15";"Møre og Romsdal";"2021";410.87;1052.91;"Yellow";"Yellow"
"ENCREC_002";"15";"Møre og Romsdal";"2022";522.19;1575.1;"Yellow";"Yellow"
"ENCREC_002";"15";"Møre og Romsdal";"2023";397.27;1972.37;"Green";"Yellow"
"ENCREC_002";"15";"Møre og Romsdal";"2024";305.98;2278.35;"Yellow";"Yellow"
"ENCREC_002";"15";"Møre og Romsdal";"Endring 2018-2024";NA;2166.4;"NA";"Yellow"
"ENCREC_002";"18";"Nordland - Nordlánnda";"2018";118.2;118.2;"Yellow";"Yellow"
"ENCREC_002";"18";"Nordland - Nordlánnda";"2019";361.88;480.08;"Yellow";"Yellow"
"ENCREC_002";"18";"Nordland - Nordlánnda";"2020";719.36;1199.44;"Yellow";"Yellow"
"ENCREC_002";"18";"Nordland - Nordlánnda";"2021";794.43;1993.87;"Orange";"Orange"
"ENCREC_002";"18";"Nordland - Nordlánnda";"2022";463.76;2457.63;"Orange";"Orange"
"ENCREC_002";"18";"Nordland - Nordlánnda";"2023";399.61;2857.24;"Orange";"Orange"
"ENCREC_002";"18";"Nordland - Nordlánnda";"2024";198.07;3055.31;"Orange";"Orange"
"ENCREC_002";"18";"Nordland - Nordlánnda";"Endring 2018-2024";NA;2937.11;"NA";"Yellow"
"ENCREC_002";"31";"Østfold";"2018";198.46;198.46;"Yellow";"Yellow"
"ENCREC_002";"31";"Østfold";"2019";263.51;461.97;"Yellow";"Yellow"
"ENCREC_002";"31";"Østfold";"2020";540.08;1002.05;"Yellow";"Yellow"
"ENCREC_002";"31";"Østfold";"2021";404.43;1406.48;"Yellow";"Yellow"
"ENCREC_002";"31";"Østfold";"2022";478.62;1885.1;"Yellow";"Yellow"
"ENCREC_002";"31";"Østfold";"2023";239.79;2124.89;"Yellow";"Yellow"
"ENCREC_002";"31";"Østfold";"2024";71.79;2196.68;"Yellow";"Yellow"
"ENCREC_002";"31";"Østfold";"Endring 2018-2024";NA;1998.22;"NA";"Yellow"
"ENCREC_002";"32";"Akershus";"2018";578.32;578.32;"Yellow";"Yellow"
