"Indikatorens navn";"Fylke nummer";"Fylke navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCACC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2019";702.64;1221.7;"Yellow";"Yellow"
"ENCACC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2020";763.4;1985.1;"Yellow";"Yellow"
"ENCACC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2021";1604.1;3589.2;"Yellow";"Yellow"
"ENCACC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2022";1143.74;4732.94;"Yellow";"Yellow"
"ENCACC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2023";866.02;5598.96;"Green";"Yellow"
"ENCACC_001";"56";"Finnmark – Finnmárku – Finmarkku";"2024";528.75;6127.71;"Yellow";"Yellow"
"ENCACC_001";"56";"Finnmark – Finnmárku – Finmarkku";"Endring 2018-2024";NA;5608.65;"NA";"Yellow"
"ENCACC_001";"Norge";"Norge";"2018";31750.72;31750.72;"Yellow";"Yellow"
"ENCACC_001";"Norge";"Norge";"2019";42141.54;73892.26;"Yellow";"Yellow"
"ENCACC_001";"Norge";"Norge";"2020";66460.05;140352.31;"Yellow";"Yellow"
"ENCACC_001";"Norge";"Norge";"2021";72574.59;212926.9;"Yellow";"Yellow"
"ENCACC_001";"Norge";"Norge";"2022";61845.49;274772.39;"Yellow";"Yellow"
"ENCACC_001";"Norge";"Norge";"2023";53695.32;328467.71;"Green";"Yellow"
"ENCACC_001";"Norge";"Norge";"2024";33409.32;361877.03;"Yellow";"Yellow"
"ENCACC_001";"Norge";"Norge";"Endring 2018-2024";NA;330126.31;"NA";"Yellow"
