"Indikatorens navn";"Fylke nummer";"Kommune nummer";"Kommune navn";"Regnskapsår";"Årlig areal i dekar";"Kumulativ areal i dekar";"Usikkerhet for årlig areal";"Usikkerhet for kumulativ areal"
"ENCREC_003";"11";"1134";"Suldal";"2021";79735.88;79676.26;"Yellow";"Yellow"
"ENCREC_003";"11";"1134";"Suldal";"2022";79759.42;79624.47;"Yellow";"Yellow"
"ENCREC_003";"11";"1134";"Suldal";"2023";79793.07;79606.33;"Yellow";"Yellow"
"ENCREC_003";"11";"1134";"Suldal";"2024";79799.75;79594.87;"Yellow";"Yellow"
"ENCREC_003";"11";"1134";"Suldal";"Endring 2018-2024";NA;-206.119999999995;"NA";"Yellow"
"ENCREC_003";"11";"1135";"Sauda";"2018";496305.28;496305.28;"Yellow";"Yellow"
"ENCREC_003";"11";"1135";"Sauda";"2019";496308.37;496260.37;"Yellow";"Yellow"
"ENCREC_003";"11";"1135";"Sauda";"2020";496311.84;496218.93;"Yellow";"Yellow"
"ENCREC_003";"11";"1135";"Sauda";"2021";496336.46;496202.11;"Yellow";"Yellow"
"ENCREC_003";"11";"1135";"Sauda";"2022";496343.28;496192.11;"Yellow";"Yellow"
"ENCREC_003";"11";"1135";"Sauda";"2023";496307.44;496146.27;"Yellow";"Yellow"
"ENCREC_003";"11";"1135";"Sauda";"2024";496336.25;496129.24;"Yellow";"Yellow"
"ENCREC_003";"11";"1135";"Sauda";"Endring 2018-2024";NA;-176.039999999979;"NA";"Yellow"
"ENCREC_003";"11";"1144";"Kvitsøy";"2018";4003.89;4003.89;"Yellow";"Yellow"
"ENCREC_003";"11";"1144";"Kvitsøy";"2019";4002.98;4002.98;"Yellow";"Yellow"
"ENCREC_003";"11";"1144";"Kvitsøy";"2020";4003.89;4002.98;"Yellow";"Yellow"
"ENCREC_003";"11";"1144";"Kvitsøy";"2021";4003.89;4002.98;"Yellow";"Yellow"
"ENCREC_003";"11";"1144";"Kvitsøy";"2022";3982.54;3981.63;"Yellow";"Yellow"
"ENCREC_003";"11";"1144";"Kvitsøy";"2023";4000.95;3978.69;"Yellow";"Yellow"
"ENCREC_003";"11";"1144";"Kvitsøy";"2024";4003.89;3978.69;"Yellow";"Yellow"
"ENCREC_003";"11";"1144";"Kvitsøy";"Endring 2018-2024";NA;-25.1999999999998;"NA";"Yellow"
"ENCREC_003";"11";"1145";"Bokn";"2018";11098.58;11098.58;"Yellow";"Yellow"
"ENCREC_003";"11";"1145";"Bokn";"2019";11099.61;11098.07;"Yellow";"Yellow"
"ENCREC_003";"11";"1145";"Bokn";"2020";11090.32;11088.27;"Yellow";"Yellow"
"ENCREC_003";"11";"1145";"Bokn";"2021";11097.45;11085.6;"Yellow";"Yellow"
"ENCREC_003";"11";"1145";"Bokn";"2022";11089.31;11074.79;"Yellow";"Yellow"
"ENCREC_003";"11";"1145";"Bokn";"2023";11081.6;11056.27;"Yellow";"Yellow"
"ENCREC_003";"11";"1145";"Bokn";"2024";11096.6;11052.75;"Yellow";"Yellow"
"ENCREC_003";"11";"1145";"Bokn";"Endring 2018-2024";NA;-45.8299999999999;"NA";"Yellow"
"ENCREC_003";"11";"1146";"Tysvær";"2018";33701.73;33701.73;"Yellow";"Yellow"
"ENCREC_003";"11";"1146";"Tysvær";"2019";33700.62;33699.47;"Yellow";"Yellow"
"ENCREC_003";"11";"1146";"Tysvær";"2020";33694.74;33691.33;"Yellow";"Yellow"
"ENCREC_003";"11";"1146";"Tysvær";"2021";33700.84;33689.29;"Yellow";"Yellow"
"ENCREC_003";"11";"1146";"Tysvær";"2022";33683.79;33670.2;"Yellow";"Yellow"
"ENCREC_003";"11";"1146";"Tysvær";"2023";33694.72;33662.04;"Yellow";"Yellow"
"ENCREC_003";"11";"1146";"Tysvær";"2024";33700.96;33660.12;"Yellow";"Yellow"
"ENCREC_003";"11";"1146";"Tysvær";"Endring 2018-2024";NA;-41.6100000000006;"NA";"Yellow"
"ENCREC_003";"11";"1149";"Karmøy";"2018";80697.92;80697.92;"Yellow";"Yellow"
"ENCREC_003";"11";"1149";"Karmøy";"2019";80672.18;80659.7;"Yellow";"Yellow"
"ENCREC_003";"11";"1149";"Karmøy";"2020";80650.74;80600.04;"Yellow";"Yellow"
"ENCREC_003";"11";"1149";"Karmøy";"2021";80652.11;80541.75;"Yellow";"Yellow"
"ENCREC_003";"11";"1149";"Karmøy";"2022";80665.08;80496.43;"Yellow";"Yellow"
"ENCREC_003";"11";"1149";"Karmøy";"2023";80660.05;80446.08;"Yellow";"Yellow"
"ENCREC_003";"11";"1149";"Karmøy";"2024";80695.31;80430.99;"Yellow";"Yellow"
"ENCREC_003";"11";"1149";"Karmøy";"Endring 2018-2024";NA;-266.930000000008;"NA";"Yellow"
"ENCREC_003";"11";"1151";"Utsira";"2018";1109.14;1109.14;"Yellow";"Yellow"
"ENCREC_003";"11";"1151";"Utsira";"2019";1109.21;1109.14;"Yellow";"Yellow"
"ENCREC_003";"11";"1151";"Utsira";"2020";1109.07;1109;"Yellow";"Yellow"
"ENCREC_003";"11";"1151";"Utsira";"2021";1108.61;1108.4;"Yellow";"Yellow"
"ENCREC_003";"11";"1151";"Utsira";"2022";1106.76;1105.95;"Yellow";"Yellow"
"ENCREC_003";"11";"1151";"Utsira";"2023";1109.21;1105.95;"Green";"Yellow"
"ENCREC_003";"11";"1151";"Utsira";"2024";1109.21;1105.95;"Yellow";"Yellow"
"ENCREC_003";"11";"1151";"Utsira";"Endring 2018-2024";NA;-3.19000000000005;"NA";"Yellow"
"ENCREC_003";"11";"1160";"Vindafjord";"2018";139672.67;139672.67;"Yellow";"Yellow"
"ENCREC_003";"11";"1160";"Vindafjord";"2019";139670.18;139669.19;"Yellow";"Yellow"
"ENCREC_003";"11";"1160";"Vindafjord";"2020";139668.44;139663.97;"Yellow";"Yellow"
"ENCREC_003";"11";"1160";"Vindafjord";"2021";139664.9;139655.21;"Yellow";"Yellow"
"ENCREC_003";"11";"1160";"Vindafjord";"2022";139662.64;139644.19;"Yellow";"Yellow"
"ENCREC_003";"11";"1160";"Vindafjord";"2023";139650.59;139621.12;"Yellow";"Yellow"
"ENCREC_003";"11";"1160";"Vindafjord";"2024";139670.67;139618.13;"Yellow";"Yellow"
"ENCREC_003";"11";"1160";"Vindafjord";"Endring 2018-2024";NA;-54.5400000000081;"NA";"Yellow"
"ENCREC_003";"15";"1505";"Kristiansund";"2018";52040.22;52040.22;"Yellow";"Yellow"
"ENCREC_003";"15";"1505";"Kristiansund";"2019";52021.42;52011.49;"Yellow";"Yellow"
"ENCREC_003";"15";"1505";"Kristiansund";"2020";52034.02;51995.36;"Yellow";"Yellow"
"ENCREC_003";"15";"1505";"Kristiansund";"2021";52042.88;51988.09;"Yellow";"Yellow"
"ENCREC_003";"15";"1505";"Kristiansund";"2022";52030.76;51968.7;"Yellow";"Yellow"
"ENCREC_003";"15";"1505";"Kristiansund";"2023";52033.26;51951.81;"Green";"Yellow"
"ENCREC_003";"15";"1505";"Kristiansund";"2024";52023.09;51924.75;"Yellow";"Yellow"
"ENCREC_003";"15";"1505";"Kristiansund";"Endring 2018-2024";NA;-115.470000000001;"NA";"Yellow"
"ENCREC_003";"15";"1506";"Molde";"2018";432135.47;432135.47;"Yellow";"Yellow"
"ENCREC_003";"15";"1506";"Molde";"2019";432114.69;432090.06;"Yellow";"Yellow"
"ENCREC_003";"15";"1506";"Molde";"2020";432068.93;431998.89;"Yellow";"Yellow"
"ENCREC_003";"15";"1506";"Molde";"2021";432044.23;431883.02;"Yellow";"Yellow"
"ENCREC_003";"15";"1506";"Molde";"2022";431901.96;431624.88;"Yellow";"Yellow"
"ENCREC_003";"15";"1506";"Molde";"2023";432082.69;431547.47;"Green";"Yellow"
"ENCREC_003";"15";"1506";"Molde";"2024";432147.25;431534.62;"Yellow";"Yellow"
"ENCREC_003";"15";"1506";"Molde";"Endring 2018-2024";NA;-600.849999999977;"NA";"Yellow"
"ENCREC_003";"15";"1516";"Ulstein";"2018";55881.33;55881.33;"Yellow";"Yellow"
"ENCREC_003";"15";"1516";"Ulstein";"2019";55883.55;55880.43;"Yellow";"Yellow"
"ENCREC_003";"15";"1516";"Ulstein";"2020";55869.49;55865.47;"Yellow";"Yellow"
"ENCREC_003";"15";"1516";"Ulstein";"2021";55875.17;55856.19;"Yellow";"Yellow"
"ENCREC_003";"15";"1516";"Ulstein";"2022";55878.08;55849.82;"Yellow";"Yellow"
"ENCREC_003";"15";"1516";"Ulstein";"2023";55876.44;55841.81;"Yellow";"Yellow"
"ENCREC_003";"15";"1516";"Ulstein";"2024";55883.14;55840.5;"Yellow";"Yellow"
"ENCREC_003";"15";"1516";"Ulstein";"Endring 2018-2024";NA;-40.8299999999945;"NA";"Yellow"
"ENCREC_003";"15";"1517";"Hareid";"2018";56640.86;56640.86;"Yellow";"Yellow"
"ENCREC_003";"15";"1517";"Hareid";"2019";56641.1;56640.49;"Yellow";"Yellow"
"ENCREC_003";"15";"1517";"Hareid";"2020";56638.4;56637.42;"Yellow";"Yellow"
"ENCREC_003";"15";"1517";"Hareid";"2021";56640.32;56636.27;"Yellow";"Yellow"
"ENCREC_003";"15";"1517";"Hareid";"2022";56636.38;56631.18;"Yellow";"Yellow"
"ENCREC_003";"15";"1517";"Hareid";"2023";56630.09;56619.8;"Green";"Yellow"
"ENCREC_003";"15";"1517";"Hareid";"2024";56636.17;56614.5;"Yellow";"Yellow"
"ENCREC_003";"15";"1517";"Hareid";"Endring 2018-2024";NA;-26.3600000000006;"NA";"Yellow"
"ENCREC_003";"15";"1520";"Ørsta";"2018";319215.14;319215.14;"Yellow";"Yellow"
"ENCREC_003";"15";"1520";"Ørsta";"2019";319227.7;319180.67;"Yellow";"Yellow"
"ENCREC_003";"15";"1520";"Ørsta";"2020";319238.23;319156.73;"Yellow";"Yellow"
"ENCREC_003";"15";"1520";"Ørsta";"2021";319218.52;319113.08;"Yellow";"Yellow"
"ENCREC_003";"15";"1520";"Ørsta";"2022";319235.08;319085.99;"Yellow";"Yellow"
"ENCREC_003";"15";"1520";"Ørsta";"2023";319232.01;319055.83;"Green";"Yellow"
"ENCREC_003";"15";"1520";"Ørsta";"2024";319206.57;319000.23;"Yellow";"Yellow"
"ENCREC_003";"15";"1520";"Ørsta";"Endring 2018-2024";NA;-214.909999999974;"NA";"Yellow"
"ENCREC_003";"15";"1531";"Sula";"2018";23654.5;23654.5;"Yellow";"Yellow"
"ENCREC_003";"15";"1531";"Sula";"2019";23654.26;23654.26;"Yellow";"Yellow"
"ENCREC_003";"15";"1531";"Sula";"2020";23654.3;23654.06;"Yellow";"Yellow"
"ENCREC_003";"15";"1531";"Sula";"2021";23651.85;23651.41;"Yellow";"Yellow"
"ENCREC_003";"15";"1531";"Sula";"2022";23651.95;23648.86;"Yellow";"Yellow"
"ENCREC_003";"15";"1531";"Sula";"2023";23653.13;23647.49;"Yellow";"Yellow"
"ENCREC_003";"15";"1531";"Sula";"2024";23654.5;23647.49;"Yellow";"Yellow"
"ENCREC_003";"15";"1531";"Sula";"Endring 2018-2024";NA;-7.0099999999984;"NA";"Yellow"
"ENCREC_003";"15";"1532";"Giske";"2018";13042.58;13042.58;"Yellow";"Yellow"
"ENCREC_003";"15";"1532";"Giske";"2019";13040.38;13039.87;"Yellow";"Yellow"
"ENCREC_003";"15";"1532";"Giske";"2020";13036.78;13033.56;"Yellow";"Yellow"
"ENCREC_003";"15";"1532";"Giske";"2021";13041.86;13032.33;"Yellow";"Yellow"
"ENCREC_003";"15";"1532";"Giske";"2022";13039.73;13028.97;"Orange";"Yellow"
"ENCREC_003";"15";"1532";"Giske";"2023";13040.7;13026.58;"Yellow";"Yellow"
"ENCREC_003";"15";"1532";"Giske";"2024";13040.68;13024.17;"Orange";"Yellow"
"ENCREC_003";"15";"1532";"Giske";"Endring 2018-2024";NA;-18.4099999999999;"NA";"Yellow"
"ENCREC_003";"15";"1547";"Aukra";"2018";22087.02;22087.02;"Yellow";"Yellow"
"ENCREC_003";"15";"1547";"Aukra";"2019";22087.55;22087;"Yellow";"Yellow"
