"Indikatorens navn";"Fylke nummer";"Fylke navn";"Natur typer";"Regnskapsperiode";"Areal verdsatte naturtyper gått tapt (dekar)";"Usikkerhet for areal i regnskapsperiode"
"ENCREC_005";"33";"Buskerud";"Flomskogsmark";"2018-2024";0.89;"Yellow"
"ENCREC_005";"33";"Buskerud";"Fossepåvirket berg";"2018-2024";0.06;"Yellow"
"ENCREC_005";"33";"Buskerud";"Frisk kalkgranskog";"2018-2024";1.23;"Yellow"
"ENCREC_005";"33";"Buskerud";"Frisk lågurtedellauvskog";"2018-2024";0.42;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel fattig sumpskog";"2018-2024";1.36;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel furuskog med gamle trær";"2018-2024";2.06;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel furuskog med stående død ved";"2018-2024";3.92;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel grandominert naturskog";"2018-2024";2.09;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel granskog";"2018-2024";11.54;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel granskog med gamle trær";"2018-2024";17.13;"Yellow"
"ENCREC_005";"33";"Buskerud";"Gammel granskog med liggende død ved";"2018-2024";0.48;"Yellow"
"ENCREC_005";"33";"Buskerud";"Hule eiker";"2018-2024";1.34;"Yellow"
"ENCREC_005";"33";"Buskerud";"Høgereligende og nordlig nedbørsmyr";"2018-2024";27.02;"Yellow"
"ENCREC_005";"33";"Buskerud";"Høgstaudegranskog";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kalk- og lågurtfuruskog";"2018-2024";0.31;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kalkbarskog";"2018-2024";6.6;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kalkbarskog, grandominert";"2018-2024";0.88;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kalkedellauvskog";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kalkfuruskog";"2018-2024";3.35;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kalkrik alm-lind-hasselskog";"2018-2024";10.25;"Yellow"
"ENCREC_005";"33";"Buskerud";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";2.42;"Yellow"
"ENCREC_005";"33";"Buskerud";"Lågurtalm-lind-hasselskog";"2018-2024";1.29;"Yellow"
"ENCREC_005";"33";"Buskerud";"Lågurtedellauvskog";"2018-2024";0.39;"Yellow"
"ENCREC_005";"33";"Buskerud";"Lågurteikeskog";"2018-2024";0.55;"Yellow"
"ENCREC_005";"33";"Buskerud";"Lågurtfuruskog";"2018-2024";10.31;"Yellow"
"ENCREC_005";"33";"Buskerud";"Naturbeitemark";"2018-2024";19.72;"Yellow"
"ENCREC_005";"33";"Buskerud";"Ravinedal";"2018-2024";1.03;"Yellow"
"ENCREC_005";"33";"Buskerud";"Rik barskog";"2018-2024";0;"Yellow"
"ENCREC_005";"33";"Buskerud";"Rik edellauvskog";"2018-2024";2.72;"Yellow"
"ENCREC_005";"33";"Buskerud";"Rik sandfuruskog";"2018-2024";0.3;"Yellow"
"ENCREC_005";"33";"Buskerud";"Sandfuruskog";"2018-2024";21.27;"Yellow"
"ENCREC_005";"33";"Buskerud";"Semi-naturlig eng";"2018-2024";5.74;"Yellow"
"ENCREC_005";"33";"Buskerud";"Semi-naturlig myr";"2018-2024";0.01;"Yellow"
"ENCREC_005";"33";"Buskerud";"Semi-naturlig strandeng";"2018-2024";1.15;"Yellow"
"ENCREC_005";"33";"Buskerud";"Slåttemark";"2018-2024";5.18;"Yellow"
"ENCREC_005";"33";"Buskerud";"Slåttemyr";"2018-2024";0.46;"Yellow"
"ENCREC_005";"33";"Buskerud";"Store gamle trær";"2018-2024";0.35;"Yellow"
"ENCREC_005";"33";"Buskerud";"Åpen kalkmark";"2018-2024";0.3;"Yellow"
"ENCREC_005";"34";"Innlandet";"Boreal hei";"2018-2024";11.92;"Yellow"
"ENCREC_005";"34";"Innlandet";"Eng-aktig sterkt endret fastmark";"2018-2024";0.09;"Yellow"
"ENCREC_005";"34";"Innlandet";"Flomskogsmark";"2018-2024";3.72;"Yellow"
"ENCREC_005";"34";"Innlandet";"Gammel granskog med gamle trær";"2018-2024";0.26;"Yellow"
"ENCREC_005";"34";"Innlandet";"Gammel lågurtgranskog";"2018-2024";0;"Yellow"
"ENCREC_005";"34";"Innlandet";"Hagemark";"2018-2024";4.13;"Yellow"
"ENCREC_005";"34";"Innlandet";"Kalkbarskog";"2018-2024";2.8;"Yellow"
"ENCREC_005";"34";"Innlandet";"Kroksjøer, flomdammer og meandrerende elveparti";"2018-2024";0.09;"Yellow"
"ENCREC_005";"34";"Innlandet";"Lågurtfuruskog";"2018-2024";4.3;"Yellow"
"ENCREC_005";"34";"Innlandet";"Mudderbank";"2018-2024";0.08;"Orange"
"ENCREC_005";"34";"Innlandet";"Naturbeitemark";"2018-2024";1.49;"Yellow"
"ENCREC_005";"34";"Innlandet";"Rik gransumpskog";"2018-2024";1.43;"Yellow"
"ENCREC_005";"34";"Innlandet";"Rik kulturlandskapssjø";"2018-2024";0.62;"Yellow"
"ENCREC_005";"34";"Innlandet";"Rik sandfuruskog";"2018-2024";0.04;"Yellow"
"ENCREC_005";"34";"Innlandet";"Rikmyr";"2018-2024";1.41;"Yellow"
"ENCREC_005";"34";"Innlandet";"Sandfuruskog";"2018-2024";0.23;"Yellow"
"ENCREC_005";"34";"Innlandet";"Semi-naturlig eng";"2018-2024";0.99;"Yellow"
